iso2c,country,year,growth,growth_pc,gdp_ppp,gdp_ppp_pc,unemployment,population
CZ,Czech Republic,2002,1.56985532822202,1.76597431964622,268073109410.314,26289.6261389536,7.02,10196916
CZ,Czech Republic,2003,3.58368845880418,3.61333896520242,277680014493.409,27239.5594440384,7.54,10193998
CZ,Czech Republic,2004,4.81426100126959,4.78236579380949,291048255139.485,28542.2548172745,8.21,10197101
CZ,Czech Republic,2005,6.60161752988951,6.45426173686403,310262147771.21,30384.4466487841,7.93,10211216
CZ,Czech Republic,2006,6.76693268125427,6.47820360338791,331257378446.302,32352.8129664551,7.15,10238905
CZ,Czech Republic,2007,5.57033885921025,4.95608533293907,349709536921.897,33956.2459846788,5.32,10298828
CZ,Czech Republic,2008,2.68641195092762,1.83824019269181,359104175715.301,34580.4433462984,4.39,10384603
CZ,Czech Republic,2009,-4.65733109171755,-5.19898191898565,342379505288.056,32782.6123492193,6.66,10443936
CZ,Czech Republic,2010,2.43490215904518,2.13688048446924,350716111254.443,33483.137594809,7.28,10474410
CZ,Czech Republic,2011,1.76035962445222,1.55018979013502,356889976073.415,34002.1897752206,6.71,10496088
CZ,Czech Republic,2012,-0.785004299003617,-0.923734450159557,354088374418.526,33688.0998344582,6.98,10510785
CZ,Czech Republic,2013,-0.0459036735515213,-0.079052895284633,353925834847.049,33661.4684161727,6.95,10514272
CZ,Czech Republic,2014,2.26210289708078,2.15450047888164,361932001410.642,34386.7049143977,6.11,10525347
CZ,Czech Republic,2015,5.38838083815307,5.18140265379816,381434276021.797,36168.4185553861,5.05,10546059
CZ,Czech Republic,2016,2.5372845203138,2.34055226080498,391112348862.469,37014.9592935816,3.95,10566332
CZ,Czech Republic,2017,5.16872430413071,4.88972204225595,411327867894.58,38824.8879170919,2.89,10594438
CZ,Czech Republic,2018,3.19865610131447,2.85410811330968,424484831837.396,39932.992193117,2.24,10629928
CZ,Czech Republic,2019,3.02947825716996,2.62455743475904,437344507522.895,40981.0565086432,2.01,10671870
CZ,Czech Republic,2020,-5.79357128432328,-6.03154190694359,412006641721.483,38509.2669114162,2.94,10698896
DE,Germany,1962,,,,,,74025784
DE,Germany,1963,,,,,,74714353
DE,Germany,1964,,,,,,75318337
